"DIVO","","","","","",""
"As of: 06/16/2023","","","","","",""
"","","","","","",""
"TICKER","CUSIP","NAME","SHARES","PRICE","MARKET VALUE","WEIGHTINGS"
"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
"MSFT","594918104","MICROSOFT CORP","468399.00","342.330000","160347029.67","5.54%"
"V","92826C839","VISA INC","664846.00","228.910000","152189897.86","5.25%"
"PG","742718109","PROCTER AND GAMBLE CO","1000368.00","149.540000","149595030.72","5.16%"
"MCD","580135101","MCDONALDS CORP","506114.00","293.700000","148645681.80","5.13%"
"JNJ","478160104","JOHNSON & JOHNSON","900815.00","164.230000","147940847.45","5.11%"
"CVX","166764100","CHEVRON CORP NEW","929434.00","157.260000","146162790.84","5.05%"
"JPM","46625H100","JPMORGAN CHASE & CO.","1007360.00","143.260000","144314393.60","4.98%"
"GS","38141G104","GOLDMAN SACHS GROUP INC","418657.00","338.310000","141635849.67","4.89%"
"UNH","91324P102","UNITEDHEALTH GROUP INC","308231.00","458.490000","141320831.19","4.88%"
"MRK","58933Y105","MERCK & CO INC","1222244.00","109.320000","133615714.08","4.61%"
"AAPL","037833100","APPLE INC","695783.00","184.920000","128664192.36","4.44%"
"UPS","911312106","UNITED PARCEL SERVICE INC","667352.00","178.580000","119175720.16","4.11%"
"DE","244199105","DEERE & CO","227445.00","407.630000","92713405.35","3.20%"
"HD","437076102","HOME DEPOT INC","293608.00","300.380000","88193971.04","3.04%"
"DUK","26441C204","DUKE ENERGY CORP NEW","944266.00","92.180000","87042439.88","3.01%"
"WMT","931142103","WALMART INC","555974.00","155.530000","86470636.22","2.99%"
"LMT","539830109","LOCKHEED MARTIN CORP","187780.00","459.170000","86222942.60","2.98%"
"GIS","370334104","GENERAL MLS INC","1058095.00","80.710000","85398847.45","2.95%"
"MPC","56585A102","MARATHON PETE CORP","688360.00","113.290000","77984304.40","2.69%"
"SLB","806857108","SCHLUMBERGER LTD","1284658.00","47.780000","61380959.24","2.12%"
"KO","191216100","COCA COLA CO","939234.00","61.670000","57922560.78","2.00%"
"DOW","260557103","DOW INC","1061277.00","53.160000","56417485.32","1.95%"
"VZ","92343V104","VERIZON COMMUNICATIONS INC","1450298.00","36.460000","52877865.08","1.83%"
"SBUX","855244109","STARBUCKS CORP","289288.00","101.870000","29469768.56","1.02%"
"DE    230721C00440000","DE    230721C00440000","DE US 07/21/23 C440","-600.00","1.640000","-98400.00","0.00%"
"DUK   230721C00097500","DUK   230721C00097500","DUK US 07/21/23 C97.5","-2000.00","0.275000","-55000.00","0.00%"
"GS    230721C00370000","GS    230721C00370000","GS US 07/21/23 C370","-1000.00","0.900000","-90000.00","0.00%"
"MPC   230721C00125000","MPC   230721C00125000","MPC US 07/21/23 C125","-2000.00","0.610000","-122000.00","0.00%"
"SLB   230721C00052500","SLB   230721C00052500","SLB US 07/21/23 C52.5","-2333.00","0.590000","-137647.00","0.00%"
"UPS   230721C00190000","UPS   230721C00190000","UPS US 07/21/23 C190","-447.00","0.605000","-27043.50","0.00%"
"GIS   230721C00085000","GIS   230721C00085000","GIS US 07/21/23 C85","-7501.00","0.350000","-262535.00","-0.01%"
"DOW   230630C00053000","DOW   230630C00053000","DOW US 06/30/23 C53","-6500.00","0.975000","-633750.00","-0.02%"
"Cash&Other","Cash&Other","Cash & Other","322291166.11","1.000000","322291166.11","11.13%"
"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"
"Fund holdings are subject to change at any time and should not be considered recommendations to buy or sell any security.","","","","","",""
