"Global X Blockchain ETF",,,,,,
"Fund Holdings Data as of 06/15/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
11.51,COIN,"COINBASE GLOBA-A",BMC9P69,54.25,"141,963.00","7,701,492.75"
10.60,MARA,"MARATHON DIGITAL",BLR7B52,9.36,"758,302.00","7,097,706.72"
9.56,"HUT CN","HUT 8 MINING CORP",BF11385,2.05,"3,115,325.00","6,398,372.03"
9.51,RIOT,"RIOT PLATFORMS INC",BD9F675,9.97,"638,430.00","6,365,147.10"
9.49,APLD,"APPLIED DIGITAL CORP",BMCNFN8,9.44,"672,935.00","6,352,506.40"
6.39,BTBT,"BIT DIGITAL INC",BMH6DN8,3.11,"1,374,172.00","4,273,674.92"
4.23,CLSK,"CLEANSPARK INC",BJDRX78,3.87,"731,535.00","2,831,040.45"
4.13,"BITF CN","BITFARMS LTD/CANADA",BGMG7B7,1.14,"2,424,714.00","2,764,615.20"
3.93,"HIVE CN","HIVE BLOCKCHAIN",BPG8239,3.10,"849,299.00","2,629,309.40"
3.88,"GLXY CN","GALAXY DIGITAL HOLDINGS",BD5H1G9,3.35,"775,772.00","2,594,986.19"
3.36,CAN,"CANAAN INC",BL4PZ46,2.22,"1,011,800.00","2,246,196.00"
3.28,CIFR,"CIPHER MINING INC",BMZ8604,2.49,"881,679.00","2,195,380.71"
3.17,IREN,"IRIS ENERGY LTD",BMQ80V2,3.30,"642,327.00","2,119,679.10"
2.92,NVDA,"NVIDIA CORP",2379504,426.53,"4,576.00","1,951,801.28"
2.28,BKKT,"BAKKT HOLDINGS INC",BMQ7FW5,1.40,"1,087,618.00","1,522,665.20"
2.06,SQ,"BLOCK INC",BYNZGK1,66.19,"20,815.00","1,377,744.85"
1.99,WULF,"TERAWULF INC",BNBRMS2,1.32,"1,010,645.00","1,334,051.40"
1.71,HOOD,"ROBINHOOD MARKETS INC - A",BP0TQN6,9.98,"114,601.00","1,143,717.98"
1.64,PYPL,"PAYPAL HOLDINGS INC",BYW36M8,65.85,"16,641.00","1,095,809.85"
1.52,FOUR,"SHIFT4 PAYMENT-A",BLF0L75,63.79,"15,972.00","1,018,853.88"
1.02,"ARB LN","ARGO BLOCKCHAIN PLC",BZ15CS0,0.10,"6,678,493.00","680,966.42"
0.95,"NB2 GR","NORTHERN DATA AG",BWT5WX6,20.40,"31,069.00","633,950.53"
0.40,OSTK,"OVERSTOCK.COM INC",2855930,22.10,"12,011.00","265,443.10"
0.23,"BIGG CN","BIGG DIGITAL ASSETS INC",BKPCL63,0.17,"875,465.00","152,042.10"
0.20,,CASH,,1.00,"135,517.55","135,517.55"
0.08,SAI,"SAITECH GLOBAL CORP",BP5JTR6,1.39,"40,123.00","55,770.97"
-0.01,,"OTHER PAYABLE & RECEIVABLES",,1.00,"-7,034.27","-7,034.27"
"The information contained herein may not be reproduced, redistributed or used to create any derivative works.",,,,,,
